variant,method_key,checkpoint_step,action_gate_scale,action_vector_scale,comparison_mode,num_clips,mean_future_rgb_mae_correct_vs_mode,mean_future_temporal_delta_mae_correct_vs_mode
,v4_main_text_r128_partial,6000,1.0,1.0,reversed_future,5,1.6927371272334348,1.6895023399675395
,v4_main_text_r128_partial,6000,1.0,1.0,shuffled,5,3.3812110053168403,2.318439952868251
,v4_main_text_r128_partial,6000,1.0,1.0,zero,5,1.747933437206127,1.7095591227213542
,v4_main_text_r128_partial,7992,1.0,1.0,reversed_future,5,3.739401654843931,2.407853777531727
,v4_main_text_r128_partial,7992,1.0,1.0,shuffled,5,2.4079850090874566,2.0806432159853654
,v4_main_text_r128_partial,7992,1.0,1.0,zero,5,3.6944418165418837,2.4054820172663587
,v4_main_text_r128_partial,10000,1.0,1.0,reversed_future,5,2.156160170943649,1.8445740892293867
,v4_main_text_r128_partial,10000,1.0,1.0,shuffled,5,3.4497648309778284,2.481806609104497
,v4_main_text_r128_partial,10000,1.0,1.0,zero,5,3.3221857565420643,2.394119062110292
,v4_main_text_r128_partial,12000,1.0,1.0,reversed_future,5,3.274093853985822,2.229445221950191
,v4_main_text_r128_partial,12000,1.0,1.0,shuffled,5,2.8208904125072336,2.1170817343841697
,v4_main_text_r128_partial,12000,1.0,1.0,zero,5,2.7380005447952835,2.109338464871259
,v4_main_text_r128_partial,15000,1.0,1.0,reversed_future,5,2.687739548859773,2.0936682329491267
,v4_main_text_r128_partial,15000,1.0,1.0,shuffled,5,2.66536909032751,2.046500994901702
,v4_main_text_r128_partial,15000,1.0,1.0,zero,5,2.420989269680447,2.0521552287356952
,v4_main_text_r32_3epoch,7992,1.0,1.0,reversed_future,5,3.614085840295862,2.4731694324475497
,v4_main_text_r32_3epoch,7992,1.0,1.0,shuffled,5,1.8327501226354528,1.8306000758784478
,v4_main_text_r32_3epoch,7992,1.0,1.0,zero,5,1.8636549631754555,1.8361227545939702
,v4_main_text_r32_3epoch,10000,1.0,1.0,reversed_future,5,3.997543038262261,2.6654893901986134
,v4_main_text_r32_3epoch,10000,1.0,1.0,shuffled,5,3.7423835189254198,2.495733341700594
,v4_main_text_r32_3epoch,10000,1.0,1.0,zero,5,3.9382357562029804,2.6504172311702243
,v4_main_text_r32_3epoch,15984,1.0,1.0,reversed_future,5,2.4508648342556425,2.077518674465412
,v4_main_text_r32_3epoch,15984,1.0,1.0,shuffled,5,3.587877005117911,2.3741486312078197
,v4_main_text_r32_3epoch,15984,1.0,1.0,zero,5,1.8719481009024161,1.777240076199384
,v4_main_text_r32_3epoch,18000,1.0,1.0,reversed_future,5,2.024663049203378,1.8246752241967428
,v4_main_text_r32_3epoch,18000,1.0,1.0,shuffled,5,2.9693285906756364,2.1533456005400895
,v4_main_text_r32_3epoch,18000,1.0,1.0,zero,5,1.909862447668005,1.8032701089348593
,v4_main_text_r32_3epoch,20000,1.0,1.0,reversed_future,5,1.767519802517361,1.7635063207205472
,v4_main_text_r32_3epoch,20000,1.0,1.0,shuffled,5,1.7271236137107564,1.7100500115766213
,v4_main_text_r32_3epoch,20000,1.0,1.0,zero,5,2.770584148830838,2.0978931838917623
,v4_main_text_r32_3epoch,22000,1.0,1.0,reversed_future,5,1.9401235651086879,1.8365495851901774
,v4_main_text_r32_3epoch,22000,1.0,1.0,shuffled,5,2.337228563096788,2.065443083713872
,v4_main_text_r32_3epoch,22000,1.0,1.0,zero,5,3.4290750574182582,2.3823592351635856
,v4_main_text_r32_3epoch,23976,1.0,1.0,reversed_future,5,1.942471341733579,1.9361228262314776
,v4_main_text_r32_3epoch,23976,1.0,1.0,shuffled,5,1.7185921563042534,1.7254874645824163
,v4_main_text_r32_3epoch,23976,1.0,1.0,zero,5,2.049813955801505,1.886753035711011
,v4_main_text_r64_3epoch,7992,1.0,1.0,reversed_future,5,3.972964788366247,2.5373556074402144
,v4_main_text_r64_3epoch,7992,1.0,1.0,shuffled,5,1.7702557175247757,1.7515260794912706
,v4_main_text_r64_3epoch,7992,1.0,1.0,zero,5,2.462894453825774,2.0155536060601893
,v4_main_text_r64_3epoch,10000,1.0,1.0,reversed_future,5,1.9773860366256149,1.800308614381602
,v4_main_text_r64_3epoch,10000,1.0,1.0,shuffled,5,2.329736836751302,1.9928213916474102
,v4_main_text_r64_3epoch,10000,1.0,1.0,zero,5,3.055435646904839,2.208953470579335
,v4_main_text_r64_3epoch,15984,1.0,1.0,reversed_future,5,2.379894397876881,2.049776591269623
,v4_main_text_r64_3epoch,15984,1.0,1.0,shuffled,5,3.028478806107133,2.2529024079372064
,v4_main_text_r64_3epoch,15984,1.0,1.0,zero,5,2.880089371292679,2.171210361534441
,v4_main_text_r64_3epoch,18000,1.0,1.0,reversed_future,5,3.92345304135923,2.5513746234732615
,v4_main_text_r64_3epoch,18000,1.0,1.0,shuffled,5,3.613382099292896,2.346719675556595
,v4_main_text_r64_3epoch,18000,1.0,1.0,zero,5,2.96004313716182,2.2332541309052227
,v4_main_text_r64_3epoch,22000,1.0,1.0,reversed_future,5,3.6173600797299983,2.5179546947210607
,v4_main_text_r64_3epoch,22000,1.0,1.0,shuffled,5,1.9431046803792316,1.8360304854845217
,v4_main_text_r64_3epoch,22000,1.0,1.0,zero,5,1.8123756973831742,1.7359989793087955
,v4_main_text_r64_3epoch,23976,1.0,1.0,reversed_future,5,2.4183727688259546,2.041753161793024
,v4_main_text_r64_3epoch,23976,1.0,1.0,shuffled,5,3.5339725776954936,2.334082704642569
,v4_main_text_r64_3epoch,23976,1.0,1.0,zero,5,3.5173319498697913,2.446739834351159
