method_key,step,S,FVD,PSNR,SSIM,sharp,fft,motion,tdelta
noaction_shifted,3000,0.0,71.42353875364333,17.892187968473095,0.7631228791996334,0.2713084210716135,nan,0.79006125395229,9.91586217880249
v4_main_text_r128_partial,6000,2.2739605232521343,83.48720491590268,17.285729034937816,0.7018055805531824,0.35404903301776935,0.9820991339981177,0.7076228324860715,9.24895157814026
v4_main_text_r128_partial,7992,3.2806094934910903,88.5690831345166,17.28224704387628,0.7007106483200587,0.3562575592864155,0.972528024769562,0.7122127179075213,9.298815202713012
v4_main_text_r128_partial,10000,2.976036919487847,84.00932226532686,17.286512256000357,0.7025124951937727,0.3510003109936875,0.9746133374667604,0.7087716734209699,9.259799003601074
v4_main_text_r128_partial,12000,2.9443282704294464,83.70700744541116,17.27797233458707,0.7008343486784396,0.3540217872486539,0.9790203785088236,0.7107384988500991,9.273752737045289
v4_main_text_r128_partial,15000,2.5913659696225766,85.80875018111584,17.2757005045237,0.7010553973720486,0.35238972214465436,0.9833078510383171,0.7074009895156268,9.26429271697998
v4_main_text_r16_continue,15984,2.336486905886803,90.06599489391937,17.206950781088484,0.6982283244407835,0.37030577500439443,0.9935169528980738,0.7245488311019278,9.374773120880127
v4_main_text_r16_continue,22000,2.8266242086151503,89.42235196109198,17.209952668646615,0.6985843252258086,0.37202814144484164,0.9910970594686545,0.723875300420705,9.368828058242798
v4_main_text_r16_continue,23976,3.449532026126061,88.46535400994026,17.213540866157267,0.6989122703136338,0.36916870227293674,0.9902920945689839,0.722654949713297,9.346315288543702
v4_main_text_r32_3epoch,7992,2.4368303087022567,86.50524061877263,17.260605937438914,0.7005251995202482,0.35829153112015494,0.9828570760768829,0.7122350708468475,9.289296340942382
v4_main_text_r32_3epoch,10000,3.8927207711302203,88.30257351486549,17.257212338088486,0.699808887866614,0.3624846965398329,0.9798038542902795,0.7167847482541578,9.32914204597473
v4_main_text_r32_3epoch,15984,2.6368966467586565,87.825016263897,17.255012314612422,0.7000496617756011,0.3606845998649202,0.9750910007373271,0.7186872674945836,9.33564796447754
v4_main_text_r32_3epoch,18000,2.3012846958490063,83.9578298855325,17.26097987618984,0.7008115634246666,0.35804497945656316,0.9862784401023841,0.7145494483515857,9.293266487121581
v4_main_text_r32_3epoch,20000,2.088409188352985,88.43764007373471,17.259129558738454,0.7001107296958692,0.3612524219167478,0.9761625251212921,0.7188473719059438,9.334971952438355
v4_main_text_r32_3epoch,22000,2.568809061874578,86.26427874444298,17.27022368554142,0.7011131215171219,0.3598334606197683,0.9730326016272256,0.7131357068110723,9.300565671920776
v4_main_text_r32_3epoch,23976,1.9036258179464458,89.23053152507566,17.25652648138014,0.7002194239325865,0.35950030416461665,0.9768982739429294,0.7147261832898053,9.320401477813721
v4_main_text_r64_3epoch,7992,2.735371653238932,83.90570425123443,17.261850422836762,0.700946509665268,0.3571938801079588,0.9870925140361484,0.7091200206540375,9.265178680419922
v4_main_text_r64_3epoch,10000,2.454186173427252,82.76936715142395,17.27813248157007,0.7030940938775887,0.36017266903173945,0.9834388189530741,0.7103601517506977,9.276864433288575
v4_main_text_r64_3epoch,15984,2.7628208584255645,86.39685443693551,17.263588689233874,0.7005094549344631,0.357430317030266,0.9708872083114206,0.7139995487835122,9.299030208587647
v4_main_text_r64_3epoch,18000,3.4989594259379824,86.10847174705242,17.298057468976722,0.7042099722214946,0.3565115604538905,0.978143826251636,0.7090091263260321,9.262742376327514
v4_main_text_r64_3epoch,22000,2.457613485830801,85.67167215837142,17.279482791875967,0.7024196404452093,0.3530554456591001,0.9793300558329537,0.71068913568025,9.266955041885376
v4_main_text_r64_3epoch,23976,3.15655909879708,86.80549107376885,17.268756475341235,0.7004487027102577,0.3592622981954884,0.9733018800750471,0.7107900182383851,9.285299968719482
